term,term_frequency
remaining,273
activities,273
andrew,273
definition,272
destruction,272
avila,272
phase,272
cost,272
reliefweb,272
operated,271
cycle,270
except,270
chris,270
professional,270
americans,270
hail,270
core,269
era,269
already,269
green,269
games,269
evidence,268
agencies,268
remain,267
naming,267
consists,267
works,267
orleans,267
stronger,266
processes,266
weeks,266
individual,266
head,266
pollution,266
amtrak,266
ridge,265
league,265
vehicle,265
examples,265
northeastern,264
gradually,264
indicated,264
tourism,264
strengthened,264
electric,264
forming,264
older,264
mexican,264
infrastructure,263
1979,263
oldest,263
applied,263
video,263
traffic,262
flights,261
lists,261
1975,261
placed,261
dissipated,260
strike,260
saw,260
1980,260
1974,260
fluid,260
rail,260
normally,259
authority,259
mountains,259
reduced,259
esa,259
falling,258
real,258
website,258
contains,258
guam,258
missions,257
shown,257
characteristics,256
statistics,256
attained,256
particles,256
plans,256
needed,255
issue,255
headquarters,255
boundary,254
transport,254
factors,254
game,254
conducted,254
student,254
man,254
mountain,254
visible,253
seasonal,253
typical,253
blue,253
length,253
1965,252
wet,252
jack,252
shelters,251
flash,251
korea,251
palm,251
families,251
physics,250
too,250
1971,250
secondary,249
carried,249
makes,249
assistance,249
showing,248
course,248
aftermath,248
damages,248
reading,248
germany,248
facility,248
settlement,248
feature,247
fact,247
smith,247
orbital,247
soon,247
meaning,247
designated,246
approach,246
geophysical,246
crossing,246
industrial,246
blake,245
operates,245
1987,245
commission,245
previously,244
severely,244
peaked,244
operation,244
fuel,244
notes,244
bank,244
extremely,243
moves,243
falls,243
lawrence,243
rock,243
training,243
guard,243
independence,243
00utc,243
rising,242
changed,242
url,242
entered,242
academic,242
market,242
presidential,242
organizations,241
affect,241
threat,241
landsea,241
conference,241
royal,241
digital,241
nova,240
director,240
slaves,240
diameter,239
equivalent,239
1982,239
note,239
degree,239
dead,239
gif,239
alone,238
stewart,238
returned,238
acres,238
vote,238
election,238
clear,237
decades,237
citizens,237
whether,237
disturbance,237
thought,236
1972,236
maintained,236
metropolitan,236
run,235
might,235
unknown,235
route,235
offices,235
madagascar,235
failed,234
currents,233
highly,233
1983,233
geography,233
horizontal,232
football,232
positive,232
arrived,232
infrared,232
cemetery,232
financial,232
defeated,232
rare,231
exist,231
washed,231
requires,231
affairs,231
pad,231
account,230
minimal,230
spread,230
i.e,229
roth,229
houston,229
crossed,229
covered,229
church,229
police,229
measure,228
duration,228
preparations,228
providing,228
plant,228
determined,228
basis,228
web,228
story,228
security,228
play,227
allowing,227
gary,227
category5,227
housing,227
rocket,227
communications,227
religion,227
jtwc,226
1970s,226
outages,226
category4,226
1973,226
kingdom,226
hospital,226
proposed,225
growing,225
constructed,225
always,225
producing,224
frame,224
centuries,224
plane,224
fields,224
done,224
tax,224
warmer,223
latitudes,223
favorable,223
theory,223
guide,223
find,223
serve,223
landing,223
material,223
highway,223
70,222
capacity,222
gust,222
race,222
northwestern,220
electrical,220
episode,220
expansion,220
budget,220
class,220
extent,220
action,220
words,220
politics,220
lixion,220
bridges,219
katrina,219
1986,219
fema,219
assembly,219
removed,219
themselves,219
religious,219
creating,218
come,218
successful,218
soviet,218
our,218
problems,218
aboard,218
safety,218
mobile,218
spain,218
indigenous,218
jamaica,218
planet,217
1969,217
party,217
content,216
cooler,216
erosion,216
paper,216
metro,216
assessment,215
product,215
massachusetts,215
businesses,215
signed,215
personnel,215
sector,215
ancient,215
put,215
determine,214
stream,214
contrast,214
letters,214
listed,214
1955,214
cooling,213
distinct,213
predicted,213
rural,213
arrival,213
gave,213
planning,213
met,213
generated,212
asian,212
totaled,212
charge,212
king,212
seas,211
internal,211
periods,211
planned,211
dates,211
starting,211
foundation,211
properties,211
hampton,211
cool,210
tend,210
frequently,210
cnn,210
materials,210
interior,210
heavily,210
dr,210
widely,210
boats,210
finally,209
fully,209
tracked,209
soyuz,209
pass,209
colony,209
refers,208
begins,208
powers,208
measurements,208
typhon,208
frequency,208
module,208
star,208
wall,208
ahead,208
savannah,208
occurring,207
continue,207
lesser,207
southwestern,206
component,206
takes,206
yet,206
weapons,206
recently,206
edward,206
u,206
roof,206
jma,206
scotia,206
depending,205
edge,205
radius,205
quality,205
1977,205
institutions,205
00,205
marked,205
freezing,205
commonwealth,205
rates,204
200,204
subsequent,204
derived,204
good,204
serves,204
unique,204
forest,204
trough,203
get,203
animals,203
identified,203
protection,203
performed,203
bengal,203
decrease,202
80,202
vortex,202
35,202
jr,202
subject,202
ordered,202
philippine,202
lives,201
injured,201
carbon,201
evacuate,201
laws,201
continental,201
arlington,201
greatest,200
1976,200
owned,200
performance,200
watches,199
weight,199
microsoft,199
los,199
latter,198
experience,198
annually,198
operational,198
2nd,198
ended,198
boston,198
valley,198
median,198
believed,197
patterns,197
reduce,197
inside,197
advance,197
workers,197
cut,197
literature,197
shape,196
phenomenon,196
estimate,196
projects,196
heating,196
depth,196
begin,196
y,196
applications,196
sites,196
harbor,196
recognized,195
elsewhere,195
p.1,195
panel,195
windows,195
passenger,195
combination,194
advisories,194
responsibility,194
historically,194
confirmed,194
composed,194
funding,194
1954,194
ultimately,193
differences,193
afternoon,193
homeless,193
vary,192
components,192
latin,192
governments,192
martin,192
interaction,191
difficult,191
publications,191
interest,191
matter,191
engineers,191
droplets,191
senate,191
republican,191
silver,190
convective,190
evening,190
500,190
classical,190
greatly,189
absorbed,189
communication,189
rsmc,189
contributed,189
streets,189
transferred,189
mayor,189
upper-level,188
involved,188
go,188
assigned,188
regular,188
empty,188
tides,188
claimed,188
vol,188
elections,188
legislature,188
eastward,187
1984,187
lee,187
1978,187
lows,187
slow,187
maps,187
prevent,186
negative,186
fatalities,186
1981,186
45,186
geographic,186
emissions,186
chief,186
offers,186
rule,186
battle,186
fog,186
decided,186
alexandria,186
ethnic,186
tropics,185
broad,185
maintain,185
basic,185
railway,185
fleet,185
appears,185
lies,185
chicago,185
encyclopedia,185
flows,184
runs,184
reconnaissance,184
elements,184
receive,184
1960s,183
oceanographic,183
65,183
commerce,183
wrote,183
contact,183
earliest,183
minister,183
snowfall,183
focus,183
academy,183
access-date,183
onto,182
dollars,182
particle,182
solid,182
aviation,182
1935,182
measurement,182
victims,182
heritage,182
low-level,181
1980s,181
masses,181
introduction,181
customers,181
impacted,181
problem,181
verde,181
vapor,180
test,180
discovered,180
recovery,180
expanded,180
sold,180
immediately,180
continues,180
strengthening,180
beyond,179
represented,179
defense,179
existing,179
geological,179
georgia,179
rights,179
antilles,179
troops,179
hawaiian,179
characterized,178
degrees,178
taking,178
tracking,178
personal,178
table,178
williams,178
joined,178
success,178
methods,178
text,178
joseph,178
seconds,178
belize,178
inner,177
peaking,177
nws,177
operating,177
give,177
computer,177
approaching,177
hill,177
eds,177
discontinued,177
populations,176
appear,176
necessary,176
practice,176
usage,176
car,176
permanent,176
etc,176
needs,175
wing,175
engines,175
1990s,175
adopted,175
broadcasting,175
1966,175
courts,175
allows,174
fort,174
moon,174
call,174
whole,174
75,174
acceleration,174
scott,174
1900,174
1964,174
figures,174
districts,174
hydro-qubec,174
images,173
costs,173
featured,173
doi,173
emerged,173
veracruz,173
14c,172
documents,172
legal,172
elevation,172
chesapeake,172
bermuda,172
1963,172
immigrants,172
labor,172
transition,171
low-pressure,171
hundred,171
ball,171
plains,171
boat,171
code,171
cargo,170
nor,170
gale,170
club,170
running,170
adjacent,170
cyclonic,169
brazilian,169
decade,169
concept,169
fifth,169
approved,169
astronauts,169
sections,169
progress,169
parallel,169
actually,169
roofs,169
check,169
mountainous,168
honduras,168
otherwise,168
34,168
sandy,168
archive,168
method,168
mile,168
archives,168
dangerous,167
attributed,167
affecting,167
1967,167
gradient,167
visitors,167
stephen,167
chapter,167
settlers,167
quebec,167
ashore,167
whom,167
simply,166
gives,166
indicate,166
leads,166
varies,166
ability,166
climatology,166
index,166
rescue,166
sand,166
serving,166
search,166
reuters,166
internet,166
figure,166
style,166
36,165
understanding,165
killing,165
tip,165
1950,165
1960,165
signs,165
co,165
ferry,165
share,165
going,165
1968,165
drought,165
individuals,165
bring,164
100,000,164
raised,164
van,164
intensification,164
usd,164
deadliest,163
imagery,163
hurricane-force,163
female,163
forcing,163
forward,163
chemical,163
poor,163
britain,163
creation,163
situation,163
leader,163
suggested,162
korean,162
zealand,162
appearance,162
bringing,162
domestic,162
maria,162
dollar,162
long-term,161
bands,161
bob,161
zones,161
dutch,161
acid,161
km,161
mary,161
cantonese,161
democratic,161
memorial,161
opposite,160
sign,160
exchange,160
quantity,160
0,160
true,160
1961,160
follows,160
isolated,160
intended,160
famous,160
writing,160
leaders,160
jobs,160
toll,159
bus,159
spent,159
brian,159
publication,159
christian,159
grew,159
village,159
money,159
moist,158
specifically,158
occasionally,158
influenced,158
approached,158
springer,158
transit,158
newspaper,158
300,157
dynamics,157
relationship,157
phenomena,157
reaches,157
damaging,157
build,157
command,157
commander,157
sky,157
stacy,157
upward,157
48,157
variability,156
converted,156
calculated,156
twice,156
selected,156
padgett,156
possibly,156
territories,156
insurance,156
big,156
rose,156
sales,156
irma,156
circular,155
represents,155
populated,155
trend,155
decreased,155
tv,155
prepared,155
rough,155
agreement,155
boundaries,155
giving,155
cod,155
ratio,154
large-scale,154
oscillation,154
ports,154
meet,154
totals,154
scheduled,154
hazards,154
observer,154
unlike,154
opening,154
routes,154
factor,153
meeting,153
ways,153
evacuations,153
supported,153
parks,153
mixed,153
pilot,153
swept,153
households,153
secretary,153
cirrus,152
zero,152
turning,152
spawned,152
destructive,152
bc,152
wmo,152
signal,152
airports,152
critical,152
coming,152
passengers,152
notably,152
colleges,152
broadcast,152
railroad,152
aloft,151
metres,151
background,151
protect,151
18th,151
russia,151
connected,151
matthew,151
maritime,151
1945,150
arctic,150
steve,150
increasingly,150
trains,150
astronaut,150
tons,150
require,150
streams,150
helped,150
taylor,150
advisory,150
tano,150
basins,149
net,149
efficiency,149
purposes,149
iii,149
grand,149
thereafter,149
erie,149
avoid,149
bottom,149
contain,149
globe,149
massive,149
baseball,149
upwelling,149
orbiter,149
worked,148
directed,148
shelter,148
tourists,148
comes,148
rich,148
dissipating,148
alabama,148
terrain,147
cannot,147
refer,147
low-lying,147
cars,147
formerly,147
effort,147
32,147
changing,147
showed,147
creek,147
ancestry,147
winters,147
gravitational,147
legislative,147
vcu,147
replacement,146
passes,146
flying,146
typhoons,146
actual,146
jones,146
mythology,146
category3,146
observatory,146
poles,146
authorities,146
convention,146
gold,146
appointed,146
speakers,146
substantial,145
steadily,145
prominent,145
pronounced,145
classification,145
hong,145
helms,145
wake,144
appeared,144
2017usd,144
beaches,144
endeavour,144
hosted,144
measures,144
crystals,144
tower,144
residential,144
output,144
saint,144
existence,143
capable,143
forecasters,143
10,000,143
discovery,143
plotting,143
delivered,143
installed,143
pay,143
fixed,143
prime,143
display,143
1950s,143
briefly,143
hpa,143
corps,143
renamed,143
revolution,143
enthalpy,142
shipping,142
observation,142
improved,142
experiments,142
advanced,142
generation,142
structural,142
hence,142
pages,142
manhattan,142
alternative,141
seeding,141
dictionary,141
reasons,141
stars,141
ago,141
meters,141
reduction,141
young,141
expressed,141
father,141
weaken,140
ace,140
funds,140
medicine,140
produces,140
angle,140
variation,140
provinces,140
coal,140
neighboring,140
supreme,140
potomac,140
partially,139
farther,139
remote,139
coverage,139
broke,139
docked,139
hold,139
sample,139
henry,139
continuing,139
allen,139
dominican,139
vegetation,138
37,138
greenhouse,138
bulletin,138
hydrometeorological,138
deployed,138
1,000,138
failure,138
dam,138
sides,138
kilometers,138
disasters,138
settled,138
championship,138
equation,138
achieved,138
dean,138
officers,138
slave,138
present-day,138
god,137
care,137
unusual,137
vessels,137
operate,137
frequent,137
33,137
highways,137
captain,137
hand,136
function,136
reason,136
maya,136
1941,136
connecting,136
newly,136
lived,136
mediterranean,136
industries,136
resolution,136
1940,136
drop,135
equatorial,135
describe,135
assist,135
distributed,135
covers,135
attempt,135
guardian,135
extends,134
standards,134
festival,134
mechanical,134
keep,134
considerable,134
accounts,134
tradition,134
vice,134
origins,134
varieties,134
centered,134
instance,134
x,134
letter,134
tribune,134
delta,134
vast,133
accurate,133
formal,133
myrtle,133
toronto,133
diverse,133
philadelphia,133
astronomical,133
commons,133
libraries,133
color,133
herald,133
projected,133
kong,133
neighborhoods,133
catastrophic,132
fly,132
enso,132
situated,132
gained,132
offered,132
dominica,132
annapolis,132
veterans,132
remnant,131
harvey,131
38,131
monitoring,131
variations,131
restored,131
closely,131
percentage,131
lands,131
effective,131
angeles,131
sport,131
carry,130
colder,130
mudslides,130
frontal,130
techniques,130
programme,130
songs,130
researchers,130
temporary,130
offer,130
docking,130
channels,130
goal,130
davis,130
connecticut,130
fox,130
neighborhood,130
gdp,130
wisconsin,130
subscription,130
rita,130
taxes,130
separated,129
poleward,129
64,129
archipelago,129
limit,129
entirely,129
2003usd,129
continuous,129
gravity,129
electronic,129
locally,129
migration,129
dense,129
pakistan,129
represent,129
kevin,129
1957,129
charter,129
wilma,129
concentrated,128
concentration,128
controlled,128
maintains,128
excess,128
carrying,128
target,128
todd,128
reservoir,128
municipal,128
literary,128
linked,127
successfully,127
gases,127
reporting,127
versions,127
measuring,127
dc,127
stable,127
easily,127
salinity,127
catholic,127
autumn,127
honor,127
attack,127
1962,127
rican,127
torrential,126
21st,126
frank,126
basketball,126
canceled,126
soil,126
serious,126
lasted,126
stationary,126
relations,126
curve,126
comma,126
claims,126
accompanied,126
institution,126
p.2,126
armed,126
graduate,126
rises,125
violent,125
similarly,125
block,125
launches,125
consumption,125
injuries,125
johnson,125
settlements,125
awarded,125
instability,124
localized,124
managed,124
super,124
knots,124
break,124
preparation,124
educational,124
consisting,124
dedicated,124
incorporated,124
principal,124
branches,124
publishers,124
alert,124
routledge,124
soldiers,124
pressures,123
magnitude,123
humans,123
extra,123
hatteras,123
crews,123
seats,123
accident,123
entering,123
mid,123
millions,123
climates,123
blown,123
ltd,123
vector,123
preparedness,123
municipalities,123
strongly,122
losing,122
musical,122
exposure,122
hosts,122
modified,122
stay,122
sufficient,122
conservation,122
rice,122
acquired,122
dominant,121
humidity,121
shift,121
strengthen,121
longest,121
mike,121
officer,121
agreed,121
relation,121
dennis,121
44,121
fronts,121
broken,121
grant,121
accepted,121
roger,121
receiving,121
nia,121
weaker,120
comparison,120
deal,120
fiji,120
knowledge,120
spacewalk,120
application,120
tank,120
accelerated,120
39,120
colonies,120
campaign,120
contemporary,120
tide,120
illinois,120
administrative,120
radiocarbon,120
caicos,120
dialects,120
setting,119
regarding,119
suggests,119
ra,119
requirements,119
idea,119
leave,119
wikisource,119
google,119
driven,119
summary,119
nicaragua,119
females,119
worth,119
ranges,119
founding,119
employees,119
chart,118
stages,118
somewhat,118
testing,118
occupied,118
spaceflight,118
useful,118
don,118
ranging,118
suspended,118
